#SUBMITTED ID	DROSOPHILA_ORTHOLOGS
CG11137	Dgri\GH14764 <newline> Dere\GG13165 <newline> Dsim\GD12050 <newline> Dyak\GE19487 <newline> Dper\GL25180 <newline> Dwil\GK20497 <newline> Dsec\GM22074 <newline> Dpse\GA10785 <newline> Dvir\GJ13560 <newline> CG11137 <newline> Dana\GF23442 <newline> Dmoj\GI11865 <newline> Dsuz\DS10_00007648
CG11425	Dgri\GH16696 <newline> Dere\GG16259 <newline> Dsim\GD15032 <newline> Dyak\GE23020 <newline> Dyak\GE19507 <newline> Dper\GL23176 <newline> Dwil\GK16762 <newline> Dsec\GM22449 <newline> Dpse\GA10998 <newline> Dvir\GJ11639 <newline> CG11425 <newline> Dana\GF10981 <newline> Dmoj\GI11384 <newline> Dsuz\DS10_00007943
CG13047	Dgri\GH15614 <newline> Dere\GG13475 <newline> Dsim\GD12495 <newline> Dyak\GE23109 <newline> Dyak\GE23108 <newline> Dper\GL13191 <newline> Dwil\GK19292 <newline> Dsec\GM24424 <newline> Dpse\GA30018 <newline> Dvir\GJ12639 <newline> CG13047 <newline> Dana\GF10302 <newline> Dmoj\GI12662
CG13083	Dgri\GH11105 <newline> Dere\GG21186 <newline> Dsim\GD24211 <newline> Dyak\GE13259 <newline> Dper\GL21216 <newline> Dwil\GK27693 <newline> Dwil\GK18185 <newline> Dwil\GK24677 <newline> Dsec\GM17353 <newline> Dpse\GA12033 <newline> Dvir\GJ18135 <newline> CG13083 <newline> Dana\GF14239 <newline> Dmoj\GI18227 <newline> Dsuz\DS10_00001029
CG13084	Dgri\GH11104 <newline> Dere\GG21185 <newline> Dsim\GD24210 <newline> Dyak\GE13258 <newline> Dper\GL21215 <newline> Dwil\GK27013 <newline> Dwil\GK18186 <newline> Dwil\GK18182 <newline> Dsec\GM17352 <newline> Dpse\GA12034 <newline> Dvir\GJ18134 <newline> CG13084 <newline> Dana\GF14238 <newline> Dmoj\GI18226 <newline> Dsuz\DS10_00001030
CG13159	-
CG13297	Dgri\GH15645 <newline> Dere\GG14077 <newline> Dsim\GD13143 <newline> Dyak\GE20501 <newline> Dper\GL15512 <newline> Dwil\GK16912 <newline> Dsec\GM13860 <newline> Dpse\GA23847 <newline> Dvir\GJ12676 <newline> CG13297 <newline> Dana\GF10916 <newline> Dmoj\GI12692 <newline> Dsuz\DS10_00004169
CG1368	Dere\GG17824 <newline> Dsim\GD17154 <newline> Dyak\GE17117 <newline> Dper\GL14836 <newline> Dwil\GK25848 <newline> Dsec\GM17654 <newline> Dpse\GA26286 <newline> Dvir\GJ26272 <newline> CG1368 <newline> Dana\GF19237 <newline> Dsuz\DS10_00007472
CG13749	Dgri\GH23113 <newline> Dere\GG20379 <newline> Dsim\GD10965 <newline> Dsim\GD10615 <newline> Dyak\GE12540 <newline> Dper\GL11683 <newline> Dwil\GK10648 <newline> Dsec\GM21466 <newline> Dsec\GM21080 <newline> Dpse\GA24235 <newline> Dvir\GJ21308 <newline> Dvir\GJ21309 <newline> IMPPP <newline> CG13749 <newline> CG33470 <newline> Dana\GF13690 <newline> Dana\GF12218 <newline> Dmoj\GI18936 <newline> Dsuz\DS10_00006584
CG14147	Dgri\GH14924 <newline> Dere\GG15463 <newline> Dsim\GD14270 <newline> Dyak\GE21774 <newline> Dper\GL15667 <newline> Dwil\GK12485 <newline> Dsec\GM25236 <newline> Dpse\GA12788 <newline> Dvir\GJ13635 <newline> CG14147 <newline> Dana\GF10621 <newline> Dmoj\GI11439 <newline> Dsuz\DS10_00011917 <newline> Dsuz\DS10_00011918
CG14187	Dgri\GH16352 <newline> Dere\GG13345 <newline> Dsim\GD12223 <newline> Dyak\GE22758 <newline> Dyak\GE22435 <newline> Dwil\GK17044 <newline> Dsec\GM22251 <newline> Dpse\GA12815 <newline> Dvir\GJ11564 <newline> CG14187 <newline> Dana\GF25211 <newline> Dmoj\GI11545 <newline> Dsuz\DS10_00010678
CG14427	Dgri\GH12603 <newline> Dere\GG19630 <newline> Dsim\GD16831 <newline> Dyak\GE15698 <newline> Dwil\GK25290 <newline> Dsec\GM17502 <newline> Dpse\GA12976 <newline> Dvir\GJ15796 <newline> CG14427 <newline> Dana\GF20971 <newline> Dmoj\GI21576 <newline> Dsuz\DS10_00005285
CG14752	Dgri\GH19720 <newline> Dere\GG23367 <newline> Dsim\GD10576 <newline> Dyak\GE19210 <newline> Dper\GL11083 <newline> Dwil\GK23012 <newline> Dsec\GM21046 <newline> Dpse\GA13224 <newline> Dvir\GJ22417 <newline> CG14752 <newline> Dana\GF12367
CG14756	Dere\GG10664 <newline> Dsim\GD10177 <newline> Dyak\GE23219 <newline> Dper\GL10880 <newline> Dsec\GM20710 <newline> Dpse\GA24522 <newline> CG14756 <newline> Dana\GF12604
CG14915	Dgri\GH10302 <newline> Dere\GG23700 <newline> Dsim\GD23758 <newline> Dyak\GE18509 <newline> Dper\GL19537 <newline> Dwil\GK18925 <newline> Dsec\GM18840 <newline> Dpse\GA13350 <newline> Dvir\GJ10499 <newline> CG14915 <newline> Dana\GF15637 <newline> Dmoj\GI16019 <newline> Dsuz\DS10_00001888
CG15022	Dere\GG14186 <newline> Dsim\GD13258 <newline> Dyak\GE20614 <newline> Dsec\GM13975 <newline> CG15022 <newline> Dsuz\DS10_00010171
CG15213	Dgri\GH15280 <newline> Dere\GG14146 <newline> Dsim\GD13214 <newline> Dyak\GE20575 <newline> Dper\GL22473 <newline> Dsec\GM13933 <newline> Dpse\GA13575 <newline> CG15213 <newline> Dana\GF10476 <newline> Dsuz\DS10_00003633 <newline> Dsuz\DS10_00008702
CG15740	Dgri\GH11949 <newline> Dere\GG18830 <newline> Dsim\GD15966 <newline> Dyak\GE17594 <newline> Dper\GL20351 <newline> Dwil\GK14871 <newline> Dsec\GM13042 <newline> Dpse\GA28979 <newline> Dvir\GJ26502 <newline> CG15740 <newline> Dana\GF19412 <newline> Dmoj\GI15366 <newline> Dsuz\DS10_00006282
CG15876	Dgri\GH24970 <newline> Dgri\GH15792 <newline> Dere\GG14164 <newline> Dsim\GD13237 <newline> Dyak\GE20591 <newline> Dper\GL17934 <newline> Dwil\GK17596 <newline> Dsec\GM13954 <newline> Dpse\GA13997 <newline> Dvir\GJ15479 <newline> CG15876 <newline> Dana\GF24716 <newline> Dmoj\GI12575 <newline> Dsuz\DS10_00007919 <newline> Dsuz\DS10_00010435
CG16762	Dgri\GH15758 <newline> Dere\GG14514 <newline> Dsim\GD13390 <newline> Dyak\GE21706 <newline> Dper\GL24611 <newline> Dwil\GK12510 <newline> Dsec\GM14119 <newline> Dpse\GA14134 <newline> Dvir\GJ16053 <newline> CG16762 <newline> Dana\GF24864 <newline> Dmoj\GI12536 <newline> Dsuz\DS10_00004390
CG16815	Dgri\GH25090 <newline> Dgri\GH22261 <newline> Dere\GG23826 <newline> Dsim\GD23875 <newline> Dyak\GE18629 <newline> Dper\GL26309 <newline> Dwil\GK14548 <newline> Dsec\GM10290 <newline> Dpse\GA28811 <newline> Dvir\GJ17956 <newline> CG16815 <newline> Dana\GF23086 <newline> Dmoj\GI17611 <newline> Dsuz\DS10_00001644
CG18628	Dere\GG15443 <newline> Dsim\GD14251 <newline> Dyak\GE21753 <newline> Dwil\GK12276 <newline> Dsec\GM25218 <newline> CG18628 <newline> Dana\GF10600
CG31272	Dgri\GH17356 <newline> Dere\GG17270 <newline> Dsim\GD20707 <newline> Dyak\GE24671 <newline> Dper\GL12623 <newline> Dwil\GK13908 <newline> Dwil\GK13911 <newline> Dsec\GM26154 <newline> Dpse\GA16141 <newline> Dvir\GJ23986 <newline> CG31272 <newline> Dana\GF17439 <newline> Dmoj\GI23893 <newline> Dsuz\DS10_00011603
CG31813	Dere\GG23872 <newline> Dsim\GD23916 <newline> Dyak\BG:DS08249.4 <newline> Dper\GL26081 <newline> Dsec\GM15146 <newline> Dpse\GA16497 <newline> nur <newline> Dana\GF23017 <newline> Dsuz\DS10_00001704
CG32548	Dgri\GH12347 <newline> Dere\GG18125 <newline> Dsim\GD15637 <newline> Dyak\GE15530 <newline> Dper\GL27035 <newline> Dwil\GK25663 <newline> Dsec\GM22817 <newline> Dpse\GA22322 <newline> Dvir\GJ15199 <newline> CG32548 <newline> Dana\GF22507 <newline> Dmoj\GI15593
CG3344	Dgri\GH16040 <newline> Dere\GG14646 <newline> Dsim\GD13518 <newline> Dyak\GE21006 <newline> Dper\GL20838 <newline> Dwil\GK16683 <newline> Dsec\GM14261 <newline> Dpse\GA17392 <newline> Dvir\GJ13240 <newline> hiro <newline> Dana\GF24075 <newline> Dmoj\GI12304 <newline> Dmoj\GI12303
CG3348	Dgri\GH23828 <newline> Dere\GG12118 <newline> Dsim\GD18082 <newline> Dyak\GE10567 <newline> Dper\GL23592 <newline> Dwil\GK11341 <newline> Dsec\GM10110 <newline> Dpse\GA17395 <newline> Dvir\GJ22636 <newline> CG3348 <newline> Dana\GF18713 <newline> Dmoj\GI24570 <newline> Dsuz\DS10_00010138
CG3819	Dgri\GH16960 <newline> Dere\GG13440 <newline> Dsim\GD12316 <newline> Dyak\GE22538 <newline> Dper\GL22028 <newline> Dwil\GK12612 <newline> Dsec\GM14909 <newline> Dpse\GA17708 <newline> Dvir\GJ13524 <newline> CG3819 <newline> Dana\GF10795 <newline> Dmoj\GI11823 <newline> Dsuz\DS10_00008824
CG43725	Dgri\GH10303 <newline> Dere\GG23701 <newline> Dsim\GD23759 <newline> Dyak\GE18510 <newline> Dper\GL19538 <newline> Dper\GL19539 <newline> Dwil\GK21243 <newline> Dsec\GM18851 <newline> Dpse\GA26000 <newline> Dvir\GJ10509 <newline> CG43725 <newline> Dana\GF15638 <newline> Dmoj\GI16021 <newline> Dsuz\DS10_00001889
CG4377	Dgri\GH20772 <newline> Dere\GG20739 <newline> Dsim\GD25161 <newline> Dyak\GE13671 <newline> Dper\GL17510 <newline> Dwil\GK15645 <newline> Dsec\GM15682 <newline> Dpse\GA18144 <newline> Dvir\GJ20590 <newline> CG4377 <newline> Dana\GF11610 <newline> Dmoj\GI20855
CG5110	Dgri\GH11622 <newline> Dere\GG21091 <newline> Dsim\GD24112 <newline> Dyak\GE12795 <newline> Dper\GL14499 <newline> Dwil\GK24182 <newline> Dsec\GM17242 <newline> Dpse\GA18666 <newline> Dvir\GJ17698 <newline> CG5110 <newline> Dana\GF14799 <newline> Dmoj\GI17925 <newline> Dsuz\DS10_00001122
CG5150	Dgri\GH15197 <newline> Dere\GG15276 <newline> Dsim\GD13892 <newline> Dyak\GE21498 <newline> Dwil\GK17300 <newline> Dsec\GM14710 <newline> Dpse\GA18693 <newline> Dvir\GJ13410 <newline> Alp9 <newline> Dana\GF23984 <newline> Dmoj\GI12135 <newline> Dsuz\DS10_00008113
CG5791	Dgri\GH21020 <newline> Dere\GG11106 <newline> Dsim\GD15173 <newline> Dyak\GE10268 <newline> Dper\GL23659 <newline> Dwil\GK14243 <newline> Dsec\GM26400 <newline> Dpse\GA19132 <newline> Dvir\GJ23146 <newline> CG5791 <newline> Dana\GF18068 <newline> Dmoj\GI10460 <newline> Dsuz\DS10_00011614
CG6885	Dgri\GH14371 <newline> Dere\GG13674 <newline> Dsim\GD14766 <newline> Dyak\GE19971 <newline> Dper\GL24879 <newline> Dwil\GK12077 <newline> Dsec\GM14989 <newline> Dpse\GA19930 <newline> Dvir\GJ11571 <newline> CG6885 <newline> Dana\GF23638 <newline> Dmoj\GI11314 <newline> Dsuz\DS10_00013068
CG7330	Dgri\GH14450 <newline> Dere\GG13655 <newline> Dsim\GD14748 <newline> Dyak\GE19951 <newline> Dwil\GK11111 <newline> Dsec\GM14968 <newline> Dpse\GA20266 <newline> Dvir\GJ13923 <newline> Dvir\GJ26392 <newline> CG7330 <newline> Dana\GF23617 <newline> Dmoj\GI13585 <newline> Dsuz\DS10_00012683 <newline> Dsuz\DS10_00012940
CG7542	Dgri\GH16120 <newline> Dere\GG13625 <newline> Dsim\GD14718 <newline> Dyak\GE19921 <newline> Dper\GL25139 <newline> Dwil\GK17178 <newline> Dsec\GM25710 <newline> Dpse\GA20426 <newline> Dvir\GJ12275 <newline> CG7542 <newline> Dana\GF10540 <newline> Dmoj\GI12387 <newline> Dsuz\DS10_00010429
CG8562	Dgri\GH14882 <newline> Dere\GG14424 <newline> Dsim\GD14014 <newline> Dyak\GE21615 <newline> Dwil\GK17381 <newline> Dsec\GM14841 <newline> Dpse\GA21165 <newline> Dvir\GJ12999 <newline> Dvir\GJ12363 <newline> CG8562 <newline> Dana\GF10642 <newline> Dmoj\GI12856 <newline> Dsuz\DS10_00013541
CG9184	Dere\GG14608 <newline> Dsim\GD13484 <newline> Dyak\GE20969 <newline> Dwil\GK25459 <newline> Dsec\GM14222 <newline> Dpse\GA21597 <newline> CG9184 <newline> Dana\GF10064 <newline> Dsuz\DS10_00004522
CG9672	Dgri\GH12384 <newline> Dere\GG18229 <newline> Dsim\GD15727 <newline> Dyak\GE15648 <newline> Dper\GL26771 <newline> Dwil\GK25503 <newline> Dsec\GM13371 <newline> Dpse\GA21954 <newline> Dvir\GJ18704 <newline> CG9672 <newline> Dana\GF22291 <newline> Dmoj\GI15878
CG9928	Dere\GG27005 <newline> Dsim\GD22088 <newline> Dyak\GE11930 <newline> Dper\GL24776 <newline> Dsec\GM25877 <newline> Dpse\GA22131 <newline> CG9928 <newline> Dana\GF19724
Cht6	Dgri\GH11814 <newline> Dgri\GH11815 <newline> Dere\GG18337 <newline> Dsim\GD16968 <newline> Dyak\GE17825 <newline> Dper\GL16390 <newline> Dwil\GK25829 <newline> Dsec\GM11400 <newline> Dsec\GM11401 <newline> Dpse\GA22363 <newline> Dvir\GJ18726 <newline> Cht6 <newline> Dana\GF19149 <newline> Dmoj\GI16000 <newline> Dsuz\DS10_00004892
Cht9	Dgri\GH20465 <newline> Dere\GG20807 <newline> Dsim\GD25228 <newline> Dper\GL10180 <newline> Dwil\GK22943 <newline> Dsec\GM15753 <newline> Dpse\GA10376 <newline> Dvir\GJ21925 <newline> Cht9 <newline> Dmoj\GI18890
Cp16	Dgri\Cp16 <newline> Dere\GG14345 <newline> Dsim\Cp16 <newline> Dyak\Cp16 <newline> Dper\GL10338 <newline> Dwil\GK16736 <newline> Dsec\GM25088 <newline> Dpse\GA19666 <newline> Dvir\Cp16 <newline> Cp16 <newline> Dana\GF24350 <newline> Dmoj\GI12926 <newline> Dsuz\DS10_00003771
Cp18	-
Cp19	Dgri\Cp19 <newline> Dgri\GH24992 <newline> Dere\GG14344 <newline> Dsim\GD14123 <newline> Dyak\GE20774 <newline> Dper\GL10337 <newline> Dwil\GK16735 <newline> Dsec\GM25087 <newline> Dpse\GA19663 <newline> Dvir\Cp19 <newline> Cp19 <newline> Dana\GF24349 <newline> Dmoj\GI12925 <newline> Dsuz\DS10_00003770
Cpr64Ab	Dgri\GH15545 <newline> Dere\GG14206 <newline> Dsim\GD13279 <newline> Dyak\GE20635 <newline> Dwil\GK10237 <newline> Dsec\GM13998 <newline> Dpse\GA28204 <newline> Dvir\GJ26513 <newline> Cpr64Ab <newline> Dana\GF23876 <newline> Dmoj\GI14579 <newline> Dmoj\GI16820
Def	Dgri\GH21581 <newline> Dere\GG25236 <newline> Dsim\Def <newline> Dyak\GE21830 <newline> Dper\GL10559 <newline> Dwil\GK21361 <newline> Dsec\GM20557 <newline> Dpse\GA12570 <newline> Dvir\GJ22479 <newline> Dvir\GJ21126 <newline> Def <newline> Dana\GF12914 <newline> Dmoj\GI19416 <newline> Dmoj\GI19553 <newline> Dsuz\DS10_00002771
DptB	Dgri\GH22132 <newline> Dere\GG21935 <newline> Dsim\GD11419 <newline> Dyak\DptB <newline> Dper\GL11495 <newline> Dwil\GK20689 <newline> Dwil\GK20932 <newline> Dsec\GM21924 <newline> Dpse\GA10563 <newline> Dvir\GJ19917 <newline> DptB <newline> Dana\GF11125 <newline> Dmoj\GI19362 <newline> Dsuz\DS10_00005807
Dro	Dere\GG20474 <newline> Dsim\Dro <newline> Dyak\GE13605 <newline> Dper\GL11457 <newline> Dwil\GK19342 <newline> Dsec\GM21566 <newline> Dpse\GA10577 <newline> Dro <newline> Dana\GF11338
Drs	Dere\GG15135 <newline> Dsim\Drs <newline> Dyak\GE21361 <newline> Dsec\GM14569 <newline> Drs <newline> Dana\GF26499
Drsl2	Dere\GG15126 <newline> Dere\GG15129 <newline> Dere\GG14261 <newline> Dsim\dro5 <newline> Dsim\dro2 <newline> Dyak\GE21355 <newline> Dyak\GE21352 <newline> Dsec\GM14560 <newline> Dsec\GM14562 <newline> Drsl2 <newline> Drsl5 <newline> Dana\GF24279 <newline> Dana\GF10208 <newline> Dsuz\DS10_00006667
Drsl5	Dere\GG15126 <newline> Dere\GG15129 <newline> Dere\GG14261 <newline> Dsim\dro5 <newline> Dsim\dro2 <newline> Dyak\GE21355 <newline> Dyak\GE21352 <newline> Dsec\GM14560 <newline> Dsec\GM14562 <newline> Drsl2 <newline> Drsl5 <newline> Dana\GF24279 <newline> Dana\GF10208 <newline> Dsuz\DS10_00006667
dunk	Dgri\GH10755 <newline> Dere\GG26660 <newline> Dsim\GD27275 <newline> Dyak\GE28861 <newline> Dwil\GK28239 <newline> Dsec\GM16160 <newline> Dpse\GA28026 <newline> Dvir\GJ26093 <newline> dunk <newline> Dana\GF27870 <newline> Dmoj\GI11628 <newline> Dsuz\DS10_00000783
e(r)	Dgri\GH12071 <newline> Dere\GG19018 <newline> Dsim\GD15793 <newline> Dyak\GE17427 <newline> Dper\GL13030 <newline> Dwil\GK16838 <newline> Dsec\GM13693 <newline> Dpse\GA15053 <newline> Dvir\e(r) <newline> e(r) <newline> Dana\GF19121 <newline> Dmoj\GI15564 <newline> Dsuz\DS10_00005000
E(spl)mgamma-HLH	Dgri\GH19452 <newline> Dere\GG11450 <newline> Dsim\HLHmgamma <newline> Dyak\HLHmgamma <newline> Dper\GL21815 <newline> Dwil\GK14455 <newline> Dsec\GM10294 <newline> Dpse\GA20996 <newline> Dvir\GJ23903 <newline> E(spl)mgamma-HLH <newline> Dana\GF16796 <newline> Dmoj\GI24686 <newline> Dsuz\DS10_00013513 <newline> Dsuz\DS10_00012120
edin	Dgri\GH16191 <newline> Dere\GG13620 <newline> Dsim\GD14712 <newline> Dyak\GE19917 <newline> Dper\GL15586 <newline> Dwil\GK17745 <newline> Dsec\GM25706 <newline> Dpse\GA16743 <newline> Dvir\GJ13166 <newline> edin <newline> Dana\GF10536 <newline> Dmoj\GI13340 <newline> Dsuz\DS10_00010419
Fcp3C	Dgri\GH24271 <newline> Dere\GG18592 <newline> Dsim\GD16341 <newline> Dyak\GE16905 <newline> Dper\GL19781 <newline> Dwil\GK10351 <newline> Dsec\GM18842 <newline> Dpse\GA17864 <newline> Dvir\GJ15268 <newline> Fcp3C <newline> Dana\GF19616 <newline> Dmoj\GI10950 <newline> Dsuz\DS10_00006083
Femcoat	Dgri\GH24676 <newline> Dere\GG18556 <newline> Dsim\GD16308 <newline> Dyak\GE16867 <newline> Dper\GL14194 <newline> Dpse\GA22392 <newline> Dvir\GJ16420 <newline> Femcoat <newline> Dmoj\GI16143 <newline> Dsuz\DS10_00005458
GNBP-like3	Dgri\GH20840 <newline> Dere\GG22037 <newline> Dsim\GD11519 <newline> Dyak\GE12117 <newline> Dper\GL17665 <newline> Dwil\GK19304 <newline> Dwil\GK20626 <newline> Dsec\GM22021 <newline> Dpse\GA12275 <newline> Dvir\GJ20666 <newline> GNBP-like3 <newline> Dana\GF12269 <newline> Dmoj\GI20944 <newline> Dmoj\GI20945 <newline> Dsuz\DS10_00002349 <newline> Dsuz\DS10_00002348
Gnmt	Dgri\GH21361 <newline> Dere\GG19170 <newline> Dsim\GD18854 <newline> Dyak\GE26214 <newline> Dper\GL27149 <newline> Dwil\GK13726 <newline> Dsec\GM24056 <newline> Dpse\GA19423 <newline> Dvir\GJ23182 <newline> Gnmt <newline> Dana\GF17115 <newline> Dmoj\GI10501
IM18	-
IM2	Dgri\GH13934 <newline> Dgri\GH20220 <newline> Dgri\GH21665 <newline> Dere\GG21876 <newline> Dsim\GD11365 <newline> Dyak\GE28490 <newline> Dper\GL17764 <newline> Dwil\GK22977 <newline> Dwil\GK23232 <newline> Dsec\GM21868 <newline> Dpse\GA14796 <newline> IM2 <newline> Dana\GF12155 <newline> Dmoj\GI20115
IM23	Dgri\GH20222 <newline> Dere\GG20976 <newline> Dsim\GD29046 <newline> Dyak\GE13917 <newline> Dper\GL16707 <newline> Dwil\GK23237 <newline> Dsec\GM19911 <newline> Dpse\GA24273 <newline> IM23 <newline> Dana\GF12769 <newline> Dmoj\GI19391 <newline> Dsuz\DS10_00005739
ImpE2	Dgri\GH15050 <newline> Dere\GG14254 <newline> Dsim\GD13325 <newline> Dyak\GE20682 <newline> Dper\GL13255 <newline> Dwil\GK20372 <newline> Dsec\GM14048 <newline> Dpse\GA15137 <newline> Dvir\GJ12959 <newline> ImpE2 <newline> Dana\GF10264 <newline> Dmoj\GI12817 <newline> Dsuz\DS10_00013542 <newline> Dsuz\DS10_00007527
l(1)sc	Dgri\GH24341 <newline> Dere\l(1)sc <newline> Dsim\l(1)sc <newline> Dyak\l(1)sc <newline> Dper\GL20379 <newline> Dwil\GK25271 <newline> Dsec\GM19063 <newline> Dpse\GA17723 <newline> Dvir\GJ15597 <newline> l(1)sc <newline> Dana\GF21451 <newline> Dmoj\GI10999 <newline> Dsuz\DS10_00005313
Mal-A7	Dgri\Mal-A7 <newline> Dere\Mal-A7 <newline> Dsim\GD10166 <newline> Dyak\Mal-A7 <newline> Dper\Mal-A7 <newline> Dwil\Mal-A7 <newline> Dsec\Mal-A7 <newline> Dpse\GA24512 <newline> Dvir\Mal-A7 <newline> Mal-A7 <newline> Dana\Mal-A7 <newline> Dmoj\Mal-A7 <newline> Dsuz\DS10_00006765
MFS14	Dgri\GH19798 <newline> Dere\GG20943 <newline> Dsim\GD25357 <newline> Dyak\GE13882 <newline> Dper\GL11303 <newline> Dwil\GK20702 <newline> Dsec\GM19873 <newline> Dpse\GA13486 <newline> Dvir\GJ22062 <newline> MFS14 <newline> Dana\GF13752 <newline> Dmoj\GI20339
Neu2	Dere\GG13232 <newline> Dsim\GD12116 <newline> Dyak\GE28322 <newline> Dsec\GM22138 <newline> Neu2
Ntf-2	Dgri\GH12206 <newline> Dgri\GH16820 <newline> Dere\Ntf-2 <newline> Dsim\Ntf-2 <newline> Dyak\Ntf-2 <newline> Dper\GL16396 <newline> Dwil\GK25032 <newline> Dsec\GM23057 <newline> Dpse\GA14503 <newline> Dvir\GJ18599 <newline> Ntf-2 <newline> Dana\GF21708 <newline> Dmoj\GI15738 <newline> Dsuz\DS10_00004844 <newline> Dsuz\DS10_00012276
Osi15	Dgri\GH14031 <newline> Dere\GG13226 <newline> Dsim\GD19858 <newline> Dyak\GE10199 <newline> Dper\GL24068 <newline> Dwil\GK13045 <newline> Dsec\GM10877 <newline> Dpse\GA11070 <newline> Dvir\GJ14262 <newline> Osi15 <newline> Dana\GF16387 <newline> Dmoj\GI24404 <newline> Dsuz\DS10_00008056
Osi18	Dgri\GH14035 <newline> Dere\GG13291 <newline> Dsim\GD19861 <newline> Dyak\GE10206 <newline> Dper\GL24072 <newline> Dwil\GK13051 <newline> Dsec\GM10882 <newline> Dpse\GA11143 <newline> Dvir\GJ14267 <newline> Osi18 <newline> Dana\GF16391 <newline> Dmoj\GI24408 <newline> Dsuz\DS10_00013094
